38,810,2,2,Semi-Furnished,"Dayanand Colony, Lajpat Nagar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 810 sqft status Ready to Move floor 1 out of 5 floors transaction Resale balcony 1 Contact Now Enquire Now Auction By Bank",1,8910000,Ready_to_move,Resale,house
39,1350,3,4,Unfurnished,Lajpat Nagar,1,25000000,Ready_to_move,Resale,flat
40,1710,3,3,Semi-Furnished,Lajpat Nagar 2,4,26000000,Ready_to_move,New_Property,house
41,1650,3,3,Semi-Furnished,Lajpat Nagar,1,30000000,Ready_to_move,Resale,house
42,1280,2,2,Furnished,Lajpat Nagar,1,12500000,Ready_to_move,Resale,house
43,1260,3,3,Semi-Furnished,Lajpat Nagar 3,1,21000000,Ready_to_move,Resale,house
44,1130,2,2,Unfurnished,Lajpat Nagar 4,1,7800000,Ready_to_move,Resale,house
45,600,2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",1,11500000,Ready_to_move,New_Property,house
46,850,2,2,Semi-Furnished,Lajpat Nagar 1,1,11500000,Ready_to_move,Resale,house
47,1500,3,3,Semi-Furnished,Lajpat Nagar 2,2,26000000,Ready_to_move,New_Property,house
48,900,2,2,Semi-Furnished,"Amar Colony, Lajpat Nagar",2,13000000,Ready_to_move,New_Property,house
49,1000,3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1,22000000,Ready_to_move,New_Property,house
50,900,2,2,Semi-Furnished,Lajpat Nagar 2,1,15800000,Ready_to_move,New_Property,house
51,2925,4,4,Unfurnished,Lajpat Nagar 3,2,57500000,Ready_to_move,New_Property,house
52,900,2,2,Unfurnished,Lajpat Nagar 1,2,10000000,Ready_to_move,Resale,house
53,1600,3,3,Unfurnished,Lajpat Nagar 3,2,30000000,Ready_to_move,New_Property,house
54,1143,3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",2,22000000,Ready_to_move,New_Property,house
55,1150,3,3,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",2,24000000,Ready_to_move,New_Property,house
56,1500,3,3,Semi-Furnished,Lajpat Nagar 3,1,31500000,Ready_to_move,Resale,house
57,850,2,2,Semi-Furnished,Lajpat Nagar 2,1,14600000,Ready_to_move,Resale,house
58,8000,4,5,Semi-Furnished,Lajpat Nagar,1,240000000,Ready_to_move,New_Property,house
59,890,2,2,Semi-Furnished,Lajpat Nagar 1,1,8300000,Ready_to_move,Resale,house
60,1100,3,3,Unfurnished,"Vikram Vihar, Lajpat Nagar",1,22500000,Ready_to_move,New_Property,house
61,750,1,1,Furnished,"DDA Flats Sector 14, Dwarka Sector 14",2,4600000,Ready_to_move,Resale,flat
62,850,2,1,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",2,1900000,Ready_to_move,New_Property,flat
63,1350,3,2,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,5130000,Ready_to_move,New_Property,flat
64,1387,4,4,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",1,5890000,Ready_to_move,New_Property,flat
65,1050,3,2,Unfurnished,"The Elite Spire, Dwarka Sector 21",1,3700000,Ready_to_move,New_Property,flat
66,1500,3,2,Unfurnished,"Kunj Vihar flat, Dwarka Sector 12",1,17400000,Ready_to_move,Resale,flat
67,1200,3,3,Semi-Furnished,"Ashirwad flats, Dwarka Sector 12",1,15500000,Ready_to_move,Resale,flat
68,700,2,1,Semi-Furnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1,2400000,Almost_ready,New_Property,flat
69,1700,3,2,Semi-Furnished,"Sunny Valley flats, Dwarka",1,17200000,Ready_to_move,Resale,flat
70,1550,3,2,Furnished,"Shri Agrasen flat, Dwarka Sector 7",2,14200000,Ready_to_move,Resale,flat
71,1400,3,3,Semi-Furnished,"Chopra flat, Dwarka Sector 23",1,13500000,Ready_to_move,Resale,flat
72,1900,4,4,Semi-Furnished,"Mohinder flats, Dwarka Sector 12",1,30000000,Ready_to_move,Resale,flat
73,2160,4,3,Unfurnished,"Chander Lok flat, Dwarka Sector 19",1,21000000,Ready_to_move,Resale,flat
74,1700,4,3,Unfurnished,"Neelachal, Dwarka Sector 5",1,20500000,Ready_to_move,Resale,flat
75,1850,3,4,Semi-Furnished,Dwarka,1,24000000,Ready_to_move,Resale,flat
76,1800,4,2,Semi-Furnished,"MeeraBai flat, Dwarka Sector 5",1,16500000,Ready_to_move,Resale,flat
77,1620,3,2,Semi-Furnished,"Crescent flats, Dwarka Sector 18",1,14900000,Ready_to_move,Resale,flat
78,1800,4,3,Furnished,"Ashoka Enclave flat, Dwarka Sector 11",1,19200000,Ready_to_move,Resale,flat
79,1540,3,3,Semi-Furnished,"Nav Kairali flat, Dwarka Sector 3",1,14500000,Ready_to_move,Resale,flat
80,1600,3,3,Semi-Furnished,"Ashirwad flats, Dwarka",1,15600000,Ready_to_move,Resale,flat
81,1400,3,2,Unfurnished,"Indraprastha flat, Dwarka Sector 12",1,11400000,Ready_to_move,Resale,flat
